IDLE	EXPR	MODE	IN_TIME	OUT_COUNT	LOCK_MODE
2	COUNTER_1	serial	1	134.000000
2	COUNTER_1	serial	2	234.000000
2	COUNTER_1	serial	4	537.000000
2	COUNTER_1	serial	8	1163.000000
2	COUNTER_1	serial	16	2412.000000
2	COUNTER_1	serial	32	4896.000000
2	COUNTER_1	serial	64	9879.000000
2	COUNTER_1	serial	128	19834.000000
2	COUNTER_1	serial	256	39737.000000
2	COUNTER_1	serial	512	79561.000000
2	COUNTER_1	serial	1024	158614.000000
2	COUNTER_1	parallel	1	0.000000	1
2	COUNTER_1	parallel	1	0.000000	2
2	COUNTER_1	parallel	1	0.000000	4
2	COUNTER_1	parallel	1	0.000000	8
2	COUNTER_1	parallel	1	0.000000	16
2	COUNTER_1	parallel	2	0.000000	1
2	COUNTER_1	parallel	2	0.000000	2
2	COUNTER_1	parallel	2	0.000000	4
2	COUNTER_1	parallel	2	0.000000	8
2	COUNTER_1	parallel	2	0.000000	16
2	COUNTER_1	parallel	4	0.000000	1
2	COUNTER_1	parallel	4	0.000000	2
2	COUNTER_1	parallel	4	0.000000	4
2	COUNTER_1	parallel	4	0.000000	8
2	COUNTER_1	parallel	4	0.000000	16
2	COUNTER_1	parallel	8	0.000000	1
2	COUNTER_1	parallel	8	0.000000	2
2	COUNTER_1	parallel	8	0.000000	4
2	COUNTER_1	parallel	8	0.000000	8
2	COUNTER_1	parallel	8	0.000000	16
2	COUNTER_1	parallel	16	0.000000	1
2	COUNTER_1	parallel	16	0.000000	2
2	COUNTER_1	parallel	16	0.000000	4
2	COUNTER_1	parallel	16	0.000000	8
2	COUNTER_1	parallel	16	0.000000	16
2	COUNTER_1	parallel	32	0.000000	1
2	COUNTER_1	parallel	32	0.000000	2
2	COUNTER_1	parallel	32	0.000000	4
2	COUNTER_1	parallel	32	0.000000	8
2	COUNTER_1	parallel	32	0.000000	16
2	COUNTER_1	parallel	64	293.000000	1
2	COUNTER_1	parallel	64	185.000000	2
2	COUNTER_1	parallel	64	517.000000	4
2	COUNTER_1	parallel	64	752.000000	8
2	COUNTER_1	parallel	64	38.000000	16
2	COUNTER_1	parallel	128	2001.000000	1
2	COUNTER_1	parallel	128	1605.000000	2
2	COUNTER_1	parallel	128	2567.000000	4
2	COUNTER_1	parallel	128	1679.000000	8
2	COUNTER_1	parallel	128	2808.000000	16
2	COUNTER_1	parallel	256	4703.000000	1
2	COUNTER_1	parallel	256	4800.000000	2
2	COUNTER_1	parallel	256	5952.000000	4
2	COUNTER_1	parallel	256	11136.000000	8
2	COUNTER_1	parallel	256	10580.000000	16
2	COUNTER_1	parallel	512	11202.000000	1
2	COUNTER_1	parallel	512	10735.000000	2
2	COUNTER_1	parallel	512	14695.000000	4
2	COUNTER_1	parallel	512	26001.000000	8
2	COUNTER_1	parallel	512	24824.000000	16
2	COUNTER_1	parallel	1024	23908.000000	1
2	COUNTER_1	parallel	1024	22639.000000	2
2	COUNTER_1	parallel	1024	22923.000000	4
2	COUNTER_1	parallel	1024	53454.000000	8
2	COUNTER_1	parallel	1024	43867.000000	16
